id;canton;id_provincia
1;CUENCA;1
2;GIRÓN;1
3;GUALACEO;1
4;NABÓN;1
5;PAUTE;1
6;PUCARA;1
7;SAN FERNANDO;1
8;SANTA ISABEL;1
9;SIGSIG;1
10;OÑA;1
11;CHORDELEG;1
12;EL PAN;1
13;SEVILLA DE ORO;1
14;GUACHAPALA;1
15;CAMILO PONCE ENRÍQUEZ;1
16;CALUMA;2
17;CHILLANES;2
18;CHIMBO;2
19;ECHEANDÍA;2
20;GUARANDA;2
21;LAS NAVES;2
22;SAN MIGUEL;2
23;AZOGUES;3
24;BIBLIÁN;3
25;CAÑAR;3
26;DÉLEG;3
27;EL TAMBO;3
28;LA TRONCAL;3
29;SUSCAL;3
30;BOLÍVAR;4
31;ESPEJO;4
32;MIRA;4
33;MONTÚFAR;4
34;SAN PEDRO DE HUACA;4
35;TULCÁN;4
36;ALAUSI;5
37;CHAMBO;5
38;CHUNCHI;5
39;COLTA;5
40;CUMANDÁ;5
41;GUAMOTE;5
42;GUANO;5
43;PALLATANGA;5
44;PENIPE;5
45;RIOBAMBA;5
46;LA MANÁ;6
47;LATACUNGA;6
48;PANGUA;6
49;PUJILI;6
50;SALCEDO;6
51;SAQUISILÍ;6
52;SIGCHOS;6
53;ARENILLAS;7
54;ATAHUALPA;7
55;BALSAS;7
56;CHILLA;7
57;EL GUABO;7
58;HUAQUILLAS;7
59;LAS LAJAS;7
60;MACHALA;7
61;MARCABELÍ;7
62;PASAJE;7
63;PIÑAS;7
64;PORTOVELO;7
65;SANTA ROSA;7
66;ZARUMA;7
67;ATACAMES;8
68;ELOY ALFARO;8
69;ESMERALDAS;8
70;LA CONCORDIA;8
71;MUISNE;8
72;QUININDÉ;8
73;RIOVERDE;8
74;SAN LORENZO;8
75;ISABELA;9
76;SAN CRISTÓBAL;9
77;SANTA CRUZ;9
78;BALAO;10
79;BALZAR;10
80;COLIMES;10
81;DAULE;10
82;DURÁN;10
83;EL EMPALME;10
84;EL TRIUNFO;10
85;GENERAL ANTONIO ELIZALDE;10
86;GUAYAQUIL;10
87;ISIDRO AYORA;10
88;LOMAS DE SARGENTILLO;10
89;MILAGRO;10
90;NARANJAL;10
91;NARANJITO;10
92;NOBOL;10
93;ORONEL MARCELINO MARIDUE;10
94;PALESTINA;10
95;PEDRO CARBO;10
96;PLAYAS;10
97;SALITRE (URBINA JADO);10
98;SAMBORONDÓN;10
99;SAN JACINTO DE YAGUACHI;10
100;SANTA LUCÍA;10
101;SIMÓN BOLÍVAR;10
102;DO BAQUERIZO MORENO (JU;10
103;ANTONIO ANTE;11
104;COTACACHI;11
105;IBARRA;11
106;OTAVALO;11
107;PIMAMPIRO;11
108;SAN MIGUEL DE URCUQUÍ;11
109;CALVAS;12
110;CATAMAYO;12
111;CELICA;12
112;CHAGUARPAMBA;12
113;ESPÍNDOLA;12
114;GONZANAMÁ;12
115;LOJA;12
116;MACARÁ;12
117;OLMEDO;12
118;PALTAS;12
119;PINDAL;12
120;PUYANGO;12
121;QUILANGA;12
122;SARAGURO;12
123;SOZORANGA;12
124;ZAPOTILLO;12
125;BABA;13
126;BABAHOYO;13
127;BUENA FÉ;13
128;MOCACHE;13
129;MONTALVO;13
130;PALENQUE;13
131;PUEBLOVIEJO;13
132;QUEVEDO;13
133;QUINSALOMA;13
134;URDANETA;13
135;VALENCIA;13
136;VENTANAS;13
137;VÍNCES;13
138;24 DE MAYO;14
139;BOLÍVAR;14
140;CHONE;14
141;EL CARMEN;14
142;FLAVIO ALFARO;14
143;JAMA;14
144;JARAMIJÓ;14
145;JIPIJAPA;14
146;JUNÍN;14
147;MANTA;14
148;MONTECRISTI;14
149;OLMEDO;14
150;PAJÁN;14
151;PEDERNALES;14
152;PICHINCHA;14
153;PORTOVIEJO;14
154;PUERTO LÓPEZ;14
155;ROCAFUERTE;14
156;SAN VICENTE;14
157;SANTA ANA;14
158;SUCRE;14
159;TOSAGUA;14
160;GUALAQUIZA;15
161;HUAMBOYA;15
162;LIMÓN INDANZA;15
163;LOGROÑO;15
164;MORONA;15
165;PABLO SEXTO;15
166;PALORA;15
167;SAN JUAN BOSCO;15
168;SANTIAGO;15
169;SUCÚA;15
170;TAISHA;15
171;TIWINTZA;15
172;ARCHIDONA;16
173;ARLOS JULIO AROSEMENA TOL;16
174;EL CHACO;16
175;QUIJOS;16
176;TENA;16
177;SANTO DOMINGO;17
178;AGUARICO;18
179;LA JOYA DE LOS SACHAS;18
180;LORETO;18
181;ORELLANA;18
182;ARAJUNO;19
183;MERA;19
184;PASTAZA;19
185;SANTA CLARA;19
186;CAYAMBE;20
187;MEJIA;20
188;PEDRO MONCAYO;20
189;PEDRO VICENTE MALDONADO;20
190;PUERTO QUITO;20
191;QUITO;20
192;RUMIÑAHUI;20
193;SAN MIGUEL DE LOS BANCOS;20
194;LA LIBERTAD;21
195;SALINAS;21
196;SANTA ELENA;21
197;CASCALES;22
198;CUYABENO;22
199;GONZALO PIZARRO;22
200;LAGO AGRIO;22
201;PUTUMAYO;22
202;SHUSHUFINDI;22
203;SUCUMBÍOS;22
204;AMBATO;23
205;BAÑOS DE AGUA SANTA;23
206;CEVALLOS;23
207;MOCHA;23
208;PATATE;23
209;QUERO;23
210;SAN PEDRO DE PELILEO;23
211;SANTIAGO DE PÍLLARO;23
212;TISALEO;23
213;CENTINELA DEL CÓNDOR;24
214;CHINCHIPE;24
215;EL PANGUI;24
216;NANGARITZA;24
217;PALANDA;24
218;PAQUISHA;24
219;YACUAMBI;24
220;YANTZAZA (YANZATZA);24
221;ZAMORA;24
